timestamp	id	title	source	price_uah	percent_positive
2026-05-26T00:35:00Z	dont-starve-together	Don't Starve Together	steamdb_coop_campaign	229	95.0
2026-05-26T00:40:00Z	age-of-empires-2-de	Age of Empires II: Definitive Edition	steamdb_coop_campaign	880	95.0
2026-05-26T00:40:00Z	mindustry	Mindustry	steamdb_coop_campaign	169	95.8
2026-05-26T00:40:00Z	crypt-of-the-necrodancer	Crypt of the NecroDancer	steamdb_coop_campaign	325	95.5
2026-05-26T00:40:00Z	trine-1	Trine Enchanted Edition	steamdb_coop_campaign	229	95.6
2026-05-26T00:45:00Z	outlast-trials	The Outlast Trials	steamdb_coop_campaign	222	92.7
2026-05-26T00:45:00Z	cook-serve-delicious	Cook, Serve, Delicious!	steamdb_coop_campaign	57	94.4
2026-05-26T00:45:00Z	mosa-lina	Mosa Lina	steamdb_coop_campaign	187	95.5
2026-05-26T00:45:00Z	dishwasher-vampire-smile	The Dishwasher: Vampire Smile	steamdb_coop_campaign	169	95.2
2026-05-26T00:55:00Z	helldivers-2	Helldivers 2	curated_top_lists	1199	75.1
2026-05-26T00:55:00Z	core-keeper	Core Keeper	curated_top_lists	415	92.9
2026-05-26T00:55:00Z	v-rising	V Rising	curated_top_lists	700	88.9
2026-05-26T00:55:00Z	enshrouded	Enshrouded	curated_top_lists	549	86.0
2026-05-26T00:55:00Z	palworld	Palworld	curated_top_lists	600	94.3
2026-05-26T00:55:00Z	sea-of-thieves	Sea of Thieves	curated_top_lists	1030	88.7
2026-05-26T01:30:00Z	astroneer	ASTRONEER	steamdb_coop_campaign	600	91.9
2026-05-26T01:32:00Z	valheim	Valheim	steamdb_coop_campaign	539	94.0
2026-05-26T01:35:00Z	lotr-return-to-moria	The Lord of the Rings: Return to Moria	steamdb_coop_campaign	600	81.5
2026-05-26T01:38:00Z	heroes-of-hammerwatch-2	Heroes of Hammerwatch II	steamdb_coop_campaign	419	83.1
2026-05-26T01:50:00Z	reanimal	REANIMAL	gamerant_top_coop	740	73.9
2026-05-26T01:50:00Z	elden-ring-nightreign	Elden Ring Nightreign	gamerant_top_coop	1199	81.9
2026-05-26T01:50:00Z	marvel-cosmic-invasion	MARVEL Cosmic Invasion	gamerant_top_coop	673	88.1
2026-05-26T01:50:00Z	slay-the-spire-2	Slay the Spire 2	gamerant_top_coop	499	63.0
2026-05-26T02:00:00Z	absolum	Absolum	gamerant_2025	515	92.3
2026-05-26T02:00:00Z	cult-of-the-lamb	Cult of the Lamb	gamerant_2025	499	95.9
2026-05-26T02:00:00Z	rv-there-yet	RV There Yet?	gamerant_2025	187	90.5
2026-05-26T02:15:00Z	sniper-elite-resistance	Sniper Elite: Resistance	gamerant_2025	925	75.4
2026-05-26T02:15:00Z	powerwash-simulator-2	PowerWash Simulator 2	gamerant_2025	500	91.4
2026-05-26T02:15:00Z	abiotic-factor	Abiotic Factor	gamerant_2025	700	95.8
2026-05-26T02:15:00Z	borderlands-4	Borderlands 4	gamerant_2025	2579	59.0
2026-05-26T02:15:00Z	risk-of-rain-returns	Risk of Rain Returns	gamerant_2025	211	90.0
2026-05-26T02:30:00Z	sniper-elite-4	Sniper Elite 4	steam_search	699	91.2
2026-05-26T02:30:00Z	saints-row-3-remastered	Saints Row: The Third Remastered	steam_search	79	72.3
2026-05-26T02:30:00Z	edf-6	Earth Defense Force 6	steam_search	1999	69.3
2026-05-26T02:45:00Z	far-cry-6	Far Cry 6	wikipedia_list	915	71.3
2026-05-26T02:45:00Z	trine-4	Trine 4: The Nightmare Prince	wikipedia_list	379	88.7
2026-05-26T02:45:00Z	monster-hunter-world	Monster Hunter: World	wikipedia_list	949	88.8
2026-05-26T02:45:00Z	unravel-two	Unravel Two	wikipedia_list	699	78.3
2026-05-26T02:45:00Z	state-of-decay-2	State of Decay 2: Juggernaut Edition	wikipedia_list	379	82.8
2026-05-26T02:45:00Z	space-hulk-deathwing	Space Hulk: Deathwing Enhanced Edition	wikipedia_list	59	72.2
2026-05-26T02:45:00Z	divinity-original-sin-1	Divinity: Original Sin - Enhanced Edition	wikipedia_list	47	89.4
2026-05-26T02:45:00Z	vermintide-1	Warhammer: End Times - Vermintide	wikipedia_list	60	79.9
2026-05-26T03:15:00Z	lego-voyagers	LEGO Voyagers	wasdland_2025	489	88.2
2026-05-26T03:15:00Z	together-moon-escape	Together: Moon Escape	wasdland_2026	225	90.2
2026-05-26T03:15:00Z	parallel-experiment	Parallel Experiment	wasdland_2025	225	84.5
2026-05-26T03:15:00Z	hellcard	HELLCARD	wasdland	399	85.7
2026-05-26T03:15:00Z	secrets-of-grindea	Secrets of Grindea	wasdland	229	89.1
2026-05-26T03:15:00Z	dying-light-the-beast	Dying Light: The Beast	wasdland_2025	1599	86.8
2026-05-26T03:15:00Z	ready-or-not	Ready or Not	wasdland	625	77.9
2026-05-26T03:30:00Z	lego-batman-legacy	LEGO Batman: Legacy of the Dark Knight	steam_new_2026	1899	96.5
2026-05-26T03:30:00Z	thick-as-thieves	Thick As Thieves	steam_new_2026	195	72.6
2026-05-26T03:40:00Z	in-sink	In Sink: A Co-op Escape Adventure	puzzle_search	325	87.0
2026-05-26T03:40:00Z	bokura	BOKURA	puzzle_search	122	91.6
2026-05-26T03:40:00Z	the-past-within	The Past Within	puzzle_search	149	94.7
2026-05-26T03:50:00Z	pampas-selene	Pampas & Selene: The Maze of Demons	niche_search	225	90.8
2026-05-26T03:50:00Z	blood-typers	Blood Typers	niche_search	274	94.8
2026-05-26T04:45:00Z	generation-zero	Generation Zero	reeval_skipped	103	72.0
2026-05-26T05:00:00Z	green-hell	Green Hell	steam_more_like_this	36	84.9
2026-05-26T05:00:00Z	grounded-2	Grounded 2	steam_more_like_this	999	80.7
2026-05-26T05:00:00Z	icarus	ICARUS	steam_more_like_this	700	74.5
2026-05-26T05:00:00Z	smalland	Smalland: Survive the Wilds	steam_more_like_this	175	82.0
2026-05-26T05:10:00Z	dead-island-2	Dead Island 2	websearch_niche	1800	77.2
2026-05-26T05:20:00Z	tales-of-vesperia	Tales of Vesperia: Definitive Edition	websearch_niche	540	81.3
2026-05-26T05:20:00Z	secret-of-mana	Secret of Mana	websearch_niche	479	68.4
2026-05-26T05:20:00Z	moon-hunters	Moon Hunters	websearch_niche	335	78.1
2026-05-26T05:35:00Z	spiritfarer	Spiritfarer	websearch_niche	600	95.0
2026-05-26T05:35:00Z	wildermyth	Wildermyth	websearch_niche	329	94.7
2026-05-26T05:40:00Z	anima-flux	Anima Flux	websearch_niche	415	84.7
2026-05-26T06:00:00Z	escapists-2	The Escapists 2	hidden_gems	450	90.6
2026-05-26T06:00:00Z	aragami	Aragami	hidden_gems	415	90.0
2026-05-26T06:00:00Z	aragami-2	Aragami 2	hidden_gems	700	75.7
2026-05-26T06:00:00Z	ibb-and-obb	ibb & obb	hidden_gems	39	89.5
2026-05-26T06:00:00Z	dungeon-of-the-endless	Dungeon of the Endless	hidden_gems	199	85.3
2026-05-26T06:00:00Z	out-of-space	Out of Space	hidden_gems	229	79.3
2026-05-26T06:00:00Z	clandestine	Clandestine	hidden_gems	225	79.5
2026-05-26T06:15:00Z	tick-tock-tale-for-two	Tick Tock: A Tale for Two	backloggd_drill	149	85.5
2026-05-26T06:15:00Z	toejam-earl-groove	ToeJam & Earl: Back in the Groove!	backloggd_drill	229	87.8
2026-05-26T06:25:00Z	death-squared	Death Squared	puzzle_drill	325	87.9
2026-05-26T06:25:00Z	pico-park-2	PICO PARK 2	puzzle_drill	199	88.8
2026-05-26T06:40:00Z	escape-the-backrooms	Escape the Backrooms	youtube_curator_drill	194	90.6
